Year,Value,Units,Series,Observation status,Unit multiplier
2013,28.92871702,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2014,29.06991488,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2015,28.9170488,Percentage (%),Percentage of gross domestic product (GDP) spending on essential services,Undefined,Units
2000,3.772786498,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2001,4.023175475,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2002,4.315171484,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2003,4.567010848,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2004,4.973157058,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2005,5.20640899,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2006,5.517877995,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2007,5.685678862,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2008,6.204436731,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2009,7.04723195,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2010,7.103646874,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2011,7.043347458,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2012,7.093032798,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2013,7.252771185,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2014,7.461293867,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2015,7.556054655,Percentage (%),Percentage of gross domestic product (GDP) spending on health,Undefined,Units
2000,3.451215394,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2001,3.761181413,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2002,4.25726282,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2003,4.234898953,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2004,4.376134604,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2005,4.607863495,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2006,4.912073288,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2007,5.022699587,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2008,5.357657373,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2009,5.865165281,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2010,6.019958178,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2011,5.659407294,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2012,5.469540717,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2013,5.221555214,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2014,5.292222359,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2015,5.071960786,Percentage (%),"Percentage of gross domestic product (GDP) spending on essential services, education",Undefined,Units
2000,9.974104776,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2001,10.41563058,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2002,10.80992099,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2003,11.39747069,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2004,11.90969059,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2005,12.11352017,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2006,12.17322683,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2007,12.56844157,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2008,13.48158261,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2009,15.42528087,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2010,15.79521745,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2011,15.93404973,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2012,16.53696055,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2013,16.45439062,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2014,16.31639866,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
2015,16.28903336,Percentage (%),Percentage of gross domestic product (GDP) spending on social protection,Undefined,Units
