Year,Area of spending sub-category,Observation status,Unit multiplier,Units,SERIES,Value
2011,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.253104296
2012,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.182301195
2013,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.166342473
2014,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.193199576
2015,Research and development - health,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.37814801
2000,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.175337272
2001,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.1769963
2002,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.150603764
2003,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.162982749
2004,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.182850105
2005,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.202519333
2006,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.171440889
2007,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.165313597
2008,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.116467144
2009,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.202855937
2010,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.152365773
2011,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.17429021
2012,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.421805027
2013,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.517810094
2014,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.628338283
2015,Health - not elsewhere classified,Undefined,Units,Percentage (%),Proportion of total government spending on health,0.666468714
2000,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.07518783
2001,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.67938939
2002,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",14.70746905
2003,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.8393344
2004,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.52121403
2005,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.70652978
2006,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",14.09341022
2007,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.97802469
2008,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.34346132
2009,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.51886973
2010,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",13.58213124
2011,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",12.94058529
2012,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",12.36504558
2013,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",12.02927525
2014,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",12.26842431
2015,,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",11.9515232
2000,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.054253548
2001,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.367201858
2002,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.664221041
2003,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.144330279
2004,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.110515972
2005,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.162739638
2006,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.336151135
2007,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.202829016
2008,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.970561434
2009,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.015034719
2010,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.044113267
2011,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.851178905
2012,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.470422114
2013,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.326592153
2014,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.200731596
2015,Pre-primary and primary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.182631391
2000,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.559320717
2001,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.774385483
2002,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.032584361
2003,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.768770283
2004,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.845744458
2005,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",3.934128856
2006,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.221690113
2007,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.192536503
2008,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.032639276
2009,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.199874298
2010,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.319192395
2011,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.398645879
2012,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.493627832
2013,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",4.847217076
2014,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",5.366626972
2015,Secondary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",5.177920448
2000,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.478064712
2001,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.612606016
2002,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.644952751
2003,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.560683293
2004,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.540730716
2005,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.85320277
2006,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.585243384
2007,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.600248287
2008,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.294807103
2009,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.393173313
2010,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.484341802
2011,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.376205022
2012,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.378789675
2013,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.23489667
2014,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.112970249
2015,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.067572592
2000,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.503704874
2001,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.517561427
2002,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.56335698
2003,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.520760751
2004,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.531227072
2005,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.600807947
2006,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.503533253
2007,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.537859822
2008,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.622139578
2009,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.691474687
2010,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.62426415
2011,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.34830272
2012,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.412286714
2013,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.131206002
2014,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.095132577
2015,Tertiary education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.807073401
2000,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.098642107
2001,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.129381871
2002,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.302834947
2003,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.329173706
2004,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.28964445
2005,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.197899195
2006,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.320061425
2007,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.352277892
2008,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.264907225
2009,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.120865005
2010,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.026714975
2011,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.972877904
2012,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.829953568
2013,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.742430324
2014,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.72883221
2015,Education not definable by level,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.741823844
2000,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.055942172
2001,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.051886587
2002,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.090137477
2003,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.090545972
2004,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.080971044
2005,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.097443571
2006,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.097751384
2007,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.067138856
2008,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.117463807
2009,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.167648398
2010,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.175002217
2011,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.12311395
2012,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.074079991
2013,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.066639908
2014,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.075621681
2015,Subsidiary services to education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.070614244
2000,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.017870416
2001,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.024973451
2002,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.022478174
2003,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.014610827
2004,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.013685247
2005,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.01189202
2006,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.013033518
2007,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.01171763
2008,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.004840933
2009,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.003300707
2010,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.00211803
2011,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.001322384
2012,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.001932522
2013,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.002444321
2014,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.002386731
2015,Research and development - education,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.148464577
2000,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.307389288
2001,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.201392694
2002,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.386903317
2003,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.410459294
2004,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.108695074
2005,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.848415788
2006,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.015946008
2007,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.013416687
2008,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",1.036101967
2009,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.927498601
2010,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.906384404
2011,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.868938522
2012,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.703953166
2013,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.677848792
2014,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.686122291
2015,Education - not elsewhere classified,Undefined,Units,Percentage (%),"Proportion of total government spending on essential services, education",0.7554227
2000,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.78764248
2001,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.8815725
2002,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.34478821
2003,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.24608543
2004,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,36.79810839
2005,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,36.03282198
2006,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,34.92665304
2007,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,34.97760191
2008,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,33.57642409
2009,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,35.55438808
2010,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,35.63691144
2011,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,36.43419156
2012,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.38527264
2013,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.90717241
2014,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,37.8246582
2015,,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,38.38333304
2000,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.217091888
2001,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.407266062
2002,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,6.215439808
2003,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.929320638
2004,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.724994963
2005,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.597059299
2006,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.246158036
2007,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.186001549
2008,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.096220655
2009,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.267515407
2010,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.140723228
2011,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.038547493
2012,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.427164553
2013,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.68896402
2014,Sickness and disability,Undefined,Units,Percentage (%),Proportion of total government spending on social protection,5.818849646
