Year,Value,Units,Observation status,Unit multiplier,SERIES
2004,4.973157058,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2005,5.20640899,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2006,5.517877995,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2007,5.685678862,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2008,6.204436731,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2009,7.04723195,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2010,7.103646874,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2011,7.043347458,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2012,7.093032798,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2013,7.252771185,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2014,7.461293867,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2015,7.556054655,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on health
2000,3.451215394,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2001,3.761181413,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2002,4.25726282,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2003,4.234898953,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2004,4.376134604,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2005,4.607863495,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2006,4.912073288,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2007,5.022699587,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2008,5.357657373,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2009,5.865165281,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2010,6.019958178,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2011,5.659407294,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2012,5.469540717,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2013,5.221555214,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2014,5.292222359,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2015,5.071960786,Percentage (%),Undefined,Units,"Percentage of gross domestic product (GDP) spending on essential services, education"
2000,9.974104776,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2001,10.41563058,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2002,10.80992099,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2003,11.39747069,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2004,11.90969059,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2005,12.11352017,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2006,12.17322683,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2007,12.56844157,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2008,13.48158261,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2009,15.42528087,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2010,15.79521745,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2011,15.93404973,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2012,16.53696055,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2013,16.45439062,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2014,16.31639866,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
2015,16.28903336,Percentage (%),Undefined,Units,Percentage of gross domestic product (GDP) spending on social protection
